job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Working Student - Financial Accounting,Working Student - Financial Accounting (w/m/d),Frankfurt am Main,Arbeitnow,Internship,FALSE,Frankfurt am Main,2026-05-13 15:20:13,FALSE,FALSE,United States,,,,Verve,,
Creative Director in E,Creative Director in E-Com Agentur | 100% Remote - (m/w/d),Nordhorn,Arbeitnow,Full-time,TRUE,Nordhorn,2026-05-14 12:29:03,TRUE,FALSE,,,,,4creatives GmbH,"['go', 'r', 'slack']","{'programming': ['go', 'r'], 'tools': ['slack']}"
AI Systems Engineer 100% Remote,Senior AI Systems Engineer (AWS) 100% Remote (m/w/d),Frankfurt am Main,Arbeitnow,Full-time,TRUE,Frankfurt am Main,2026-05-13 15:00:46,TRUE,FALSE,United States,,,,FNTIO,"['aws', 'r', 'terraform']","{'cloud': ['aws'], 'programming': ['r'], 'devops': ['terraform']}"
Full,Full-Stack Entwickler (m/w/d) - .NET 100% Remote,Frankfurt am Main,Arbeitnow,Full-time,TRUE,Frankfurt am Main,2026-05-13 15:00:46,TRUE,FALSE,United States,,,,FNTIO,"['.net', 'aws', 'ci/cd', 'docker', 'git', 'r']","{'frameworks': ['.net'], 'cloud': ['aws'], 'devops': ['ci/cd', 'docker'], 'tools': ['git'], 'programming': ['r']}"
"Vertriebsingenieur:in Sicherheitstechnik,","Vertriebsingenieur:in Sicherheitstechnik, Nürnberg, 70.000 - 80.000+var. Anteil",Nuremberg,Arbeitnow,Full-time,FALSE,Nuremberg,2026-05-13 15:00:45,TRUE,FALSE,,,,,wabcon,['r'],{'programming': ['r']}
Vergabemanager Öffentliche Ausschreibung,Vergabemanager (m/w/d) Öffentliche Ausschreibung,Munich,Arbeitnow,Internship,FALSE,Munich,2026-05-13 15:00:44,TRUE,FALSE,,,,,MY Humancapital GmbH,"['r', 'sap']","{'programming': ['r'], 'tools': ['sap']}"
Artist Manager / Influencer Manager,Artist Manager / Influencer Manager (m/w/d),Mülheim,Arbeitnow,Internship,FALSE,Mülheim,2026-05-13 15:00:44,TRUE,FALSE,,,,,Lionflence,['r'],{'programming': ['r']}
Trainee Artist Manager / Influencer Manager,Trainee Artist Manager / Influencer Manager (m/w/d),Mülheim,Arbeitnow,Internship,FALSE,Mülheim,2026-05-13 15:00:44,TRUE,FALSE,,,,,Lionflence,['r'],{'programming': ['r']}
Trainee Artist Manager / Influencer Manager,Trainee Artist Manager / Influencer Manager (m/w/d),Berlin,Arbeitnow,Internship,FALSE,Berlin,2026-05-13 15:00:44,TRUE,FALSE,,,,,Lionflence,['r'],{'programming': ['r']}
Artist Manager / Influencer Manager BERLIN,Artist Manager / Influencer Manager (m/w/d) BERLIN,Berlin,Arbeitnow,Internship,FALSE,Berlin,2026-05-13 15:00:44,TRUE,FALSE,,,,,Lionflence,['r'],{'programming': ['r']}
Artist Manager / Influencer Manager,Junior Artist Manager / Influencer Manager (m/w/d),Berlin,Arbeitnow,Internship,FALSE,Berlin,2026-05-13 15:00:44,TRUE,FALSE,,,,,Lionflence,['r'],{'programming': ['r']}
Artist Manager / Influencer Manager,Junior Artist Manager / Influencer Manager (m/w/d),Mülheim,Arbeitnow,Internship,FALSE,Mülheim,2026-05-13 15:00:43,TRUE,FALSE,,,,,Lionflence,['r'],{'programming': ['r']}
